system,seed,conflict,generator,metric,mean,ci_low,ci_high,n
decision_adapter_layer25,20260903,True,COSY,acoustic_correct,0.5032051282051282,0.4519230769230769,0.5503875968992248,312
decision_adapter_layer25,20260903,True,COSY,semantic_follow,0.27564102564102566,0.22885572139303484,0.3416666666666667,312
decision_adapter_layer25,20260903,True,COSY,other,0.22115384615384615,0.17307692307692307,0.25862068965517243,312
decision_adapter_layer25,20260903,True,COSY,acoustic_margin,0.9691506324758311,0.4206414339059516,1.3650141362899906,312
decision_adapter_layer25,20260903,True,F5TTS,acoustic_correct,0.4166666666666667,0.3480392156862745,0.4696969696969697,312
decision_adapter_layer25,20260903,True,F5TTS,semantic_follow,0.42948717948717946,0.35792349726775957,0.5253623188405797,312
decision_adapter_layer25,20260903,True,F5TTS,other,0.15384615384615385,0.10576923076923077,0.1937984496124031,312
decision_adapter_layer25,20260903,True,F5TTS,acoustic_margin,-0.3325320575774337,-0.9796650994334286,0.13125596757833816,312
decision_adapter_layer25,20260903,True,STYLE,acoustic_correct,0.5576923076923077,0.5077519379844961,0.6054503532182103,312
decision_adapter_layer25,20260903,True,STYLE,semantic_follow,0.2948717948717949,0.24848484848484848,0.3558741881416297,312
decision_adapter_layer25,20260903,True,STYLE,other,0.14743589743589744,0.11224489795918367,0.17759562841530055,312
decision_adapter_layer25,20260903,True,STYLE,acoustic_margin,1.483373403059653,1.0298423570983777,1.8728799505971687,312
decision_adapter_layer25,20260904,False,COSY,acoustic_correct,0.7884615384615384,0.7297297297297297,0.8448275862068966,104
decision_adapter_layer25,20260904,False,COSY,semantic_follow,0.7884615384615384,0.7297297297297297,0.8448275862068966,104
decision_adapter_layer25,20260904,False,COSY,other,0.21153846153846154,0.15517241379310345,0.2702702702702703,104
decision_adapter_layer25,20260904,False,COSY,acoustic_margin,0.0,0.0,0.0,104
decision_adapter_layer25,20260904,False,F5TTS,acoustic_correct,0.8846153846153846,0.8219055772994129,0.9489795918367347,104
decision_adapter_layer25,20260904,False,F5TTS,semantic_follow,0.8846153846153846,0.8219055772994129,0.9489795918367347,104
decision_adapter_layer25,20260904,False,F5TTS,other,0.11538461538461539,0.05102040816326531,0.1780944227005869,104
decision_adapter_layer25,20260904,False,F5TTS,acoustic_margin,0.0,0.0,0.0,104
decision_adapter_layer25,20260904,False,STYLE,acoustic_correct,0.8076923076923077,0.734375,0.880627544097693,104
decision_adapter_layer25,20260904,False,STYLE,semantic_follow,0.8076923076923077,0.734375,0.880627544097693,104
decision_adapter_layer25,20260904,False,STYLE,other,0.19230769230769232,0.11937245590230668,0.265625,104
decision_adapter_layer25,20260904,False,STYLE,acoustic_margin,0.0,0.0,0.0,104
decision_adapter_layer25,20260904,True,COSY,acoustic_correct,0.483974358974359,0.4358974358974359,0.5272108843537415,312
decision_adapter_layer25,20260904,True,COSY,semantic_follow,0.2948717948717949,0.24242424242424243,0.3602150537634409,312
decision_adapter_layer25,20260904,True,COSY,other,0.22115384615384615,0.17829457364341086,0.25725461133069816,312
decision_adapter_layer25,20260904,True,COSY,acoustic_margin,1.0600961605654073,0.5748023275838402,1.4292158132032893,312
decision_adapter_layer25,20260904,True,F5TTS,acoustic_correct,0.41025641025641024,0.32882882882882886,0.47619047619047616,312
decision_adapter_layer25,20260904,True,F5TTS,semantic_follow,0.4326923076923077,0.3515135046113307,0.5416666666666666,312
decision_adapter_layer25,20260904,True,F5TTS,other,0.15705128205128205,0.11494252873563218,0.18992702277131776,312
decision_adapter_layer25,20260904,True,F5TTS,acoustic_margin,-0.2542067322199448,-0.8651274815679446,0.19708030045662084,312
decision_adapter_layer25,20260904,True,STYLE,acoustic_correct,0.6185897435897436,0.564623107307439,0.673469387755102,312
decision_adapter_layer25,20260904,True,STYLE,semantic_follow,0.2724358974358974,0.23076923076923078,0.322463768115942,312
decision_adapter_layer25,20260904,True,STYLE,other,0.10897435897435898,0.07482699976542341,0.1380520476598169,312
decision_adapter_layer25,20260904,True,STYLE,acoustic_margin,1.8014823805573634,1.3551677293680262,2.2325821239929584,312
decision_adapter_layer25,20260905,False,COSY,acoustic_correct,0.7692307692307693,0.7040816326530612,0.8278688524590164,104
decision_adapter_layer25,20260905,False,COSY,semantic_follow,0.7692307692307693,0.7040816326530612,0.8278688524590164,104
decision_adapter_layer25,20260905,False,COSY,other,0.23076923076923078,0.1721311475409836,0.29591836734693877,104
decision_adapter_layer25,20260905,False,COSY,acoustic_margin,0.0,0.0,0.0,104
decision_adapter_layer25,20260905,False,F5TTS,acoustic_correct,0.8653846153846154,0.8,0.9363636363636364,104
